,_id,filename,new_difficulty,difficultyrating
100,807983,Agnete Kjolsrud - Get Jinxed (Tarrasky) [Gold].osu,3.2244437435898297,3.56441
101,827301,S3RL - Bass Slut (Original Mix) (Secretpipe) [Normal].osu,1.1500503229715822,2.20719
102,1262832,ClariS - Hitorigoto -TV MIX- (Doormat) [Soliloquy].osu,4.754997998044858,5.16453
103,1262335,ClariS - Hitorigoto -TV MIX- (Doormat) [Little's Normal].osu,3.6216283264038016,2.22469
104,569636,Agressor Bunx - Tornado (Original Mix) (Shadren) [Insane].osu,1.869215545630584,4.29061
105,128321,S3RL - Pika Girl (Takuya) [Hard].osu,3.0697554162718728,2.6029
106,1322507,55x55 - MUZYKA NE MUZYKANTA (feat. Snailkick) (Shmiklak) [HARDKICK].osu,3.3904518146830087,3.0957
107,1655999,Vickeblanka - Black Rover (TV Size) (Sotarks) [Akitoshi's Normal].osu,2.519831711747838,2.39184
108,328584,Feint (feat. CoMa) - Snake Eyes (Cancel) [Advanced].osu,2.9094955473844353,3.20964
109,1762728,Will Stetson - Harumachi Clover (Swing Arrangement) [Dictate Edit] (Sotarks) [Insane].osu,5.104439476565759,4.79425
110,541538,Knife Party - Give It Up (Shadren) [Normal].osu,1.3633493086372712,2.16971
111,240093,Linked Horizon - Guren no Yumiya (TV Size) (Kuria) [Saten's Easy].osu,1.5039447110645452,1.82225
112,637549,Yasuda Rei - Passcode 4854 -TV edit- (guineaQ) [Insane].osu,3.153407239748538,3.73577
113,677872,xi - Blue Zenith (Asphyxia) [toybot's Insane].osu,3.8773966770852955,4.29685
114,827081,S3RL - Bass Slut (Original Mix) (Secretpipe) [Collab Hard].osu,3.1296989927026244,3.6492
115,1582617,Cranky - Chandelier - King (Mao) [Easy].osu,1.1227472215922947,1.96027
116,374113,Chasers - Lost (ktgster) [Hard].osu,4.546078817575955,3.48082
117,351189,cYsmix feat. Emmy - Tear Rain (jonathanlfj) [Insane].osu,4.15038545217858,3.79354
118,1593361,XXXTENTACION - SAD! (Chromoxx) [Depression].osu,5.750755891367026,4.31293
119,203625,LiSA - crossing field (Ryafuka) [Normal].osu,3.0735689938369006,2.50612
120,844663,Stonebank - The Pressure (Asserin) [CBH's Hard].osu,3.8858724067842774,3.61979
121,1829381,"KDA - POPSTARS (ft. Madison Beer, (G)I-DLE, Jaira Burns) (Nathan) [Hard].osu",2.868980312742732,3.23623
122,2090845,Mrs. GREEN APPLE - Inferno (TV Size) (Amandia) [Hard].osu,2.3522275570492357,3.34508
123,1940335,Fujiwara Chika (CV Kohara Konomi) - Chikatto Chika Chika (TV Size) (Lami) [thzz's Hard].osu,2.9700748325291375,3.17802
124,239265,Linked Horizon - Guren no Yumiya (TV Size) (Kuria) [Insane].osu,4.157212601635042,4.1721
125,2090848,Mrs. GREEN APPLE - Inferno (TV Size) (Amandia) [Normal].osu,1.6647991922657255,2.28889
126,1263997,ClariS - Hitorigoto -TV MIX- (Doormat) [Xxdeathx's Insane].osu,3.9876763470303755,5.00248
127,1593847,XXXTENTACION - SAD! (Chromoxx) [Insane].osu,4.705266803750942,3.59097
128,453080,Aoi Eir - IGNITE (TV size ver.) (Guy) [Hard].osu,2.6754269142381015,3.43766
129,983692,Ayase Rie - Yuima-ruWorld TVver. (Fycho) [Insane].osu,3.5518731452341363,4.36365
130,943403,Dendei - gabe power (HighTec) [Shizuku's Hard].osu,4.004701286651776,3.02175
131,329283,Feint (feat. CoMa) - Snake Eyes (Cancel) [galv's Extreme].osu,4.555854879100433,4.55373
132,970928,FLOW - GO!!! ~NARUTO OPENING MIX~ (Monstrata) [ByBy's Easy].osu,1.333731625059718,1.50629
133,866360,JAM Project - THE HERO!! ~Ikareru Kobushi ni Hi o Tsukero~ (TV Size) (Kihhou) [Normal].osu,2.4854299196338294,1.88718
134,1385399,Panda Eyes - ILY (M a r v o l l o) [Fanteer's Insane].osu,3.675269181722428,4.83998
135,354119,Hello Sleepwalkers - Goya no Machiawase (TV Size) (tutuhaha) [Normal].osu,2.3762587655479788,2.25718
136,119953,Hatsune Miku - Senbonzakura (Short Ver.) (NatsumeRin) [Normal].osu,2.2599635046637228,2.56358
137,1764213,Will Stetson - Harumachi Clover (Swing Arrangement) [Dictate Edit] (Sotarks) [Oh no!].osu,7.110082227290043,5.51627
138,486513,FELT - In my room (Aka) [Tranquility].osu,2.3317974210552763,4.19772
139,984293,Porno Graffitti - THE DAY (ProfessionalBox) [Normal].osu,3.149905039550994,2.14925
140,10818,Hatsune Miku - Ievan Polkka (James) [Easy].osu,3.799155173756301,2.11011
141,715074,Reol - No title (VINXIS) [toybot's Insane].osu,3.768107128330241,4.78339
142,1762730,Will Stetson - Harumachi Clover (Swing Arrangement) [Dictate Edit] (Sotarks) [NiNo's Insane].osu,5.689532386410615,4.43594
143,1613232,Icon For Hire - Make a Move (Speed Up Ver.) (Sotarks) [Insane].osu,3.958761545853734,4.91953
144,1587910,TheFatRat ft. Laura Brehm - MAYDAY (Nightcore Mix) (Peter) [Hard].osu,2.9704174163981394,3.30093
145,1034889,9mm Parabellum Bullet - Inferno (Monstrata) [Traumatized Hard].osu,3.1577236907749198,3.54017
146,457257,Maffalda - pensamento tipico de esquerda caviar (Blue Dragon) [Kuron's Insane].osu,4.420580177406263,4.85841
147,1618411,Icon For Hire - Make a Move (Speed Up Ver.) (Sotarks) [Light Insane].osu,4.166301609457353,4.68211
148,1711830,55x55 - MY REZHEM KINOLENTY (feat. Cut The Crap) (Shmiklak) [CUT THE INSANE].osu,4.355436462877298,3.92111
149,1627149,Icon For Hire - Make a Move (Speed Up Ver.) (Sotarks) [naonao's Hard].osu,3.66065882154583,3.79275
150,847315,Feint - Tower Of Heaven (You Are Slaves) (eLy) [Hyper].osu,4.624344277543686,3.90499
151,1272916,Kenshi Yonezu - Peace Sign (TV edit.) (Finshie) [HC's Advanced].osu,2.746093550500923,2.63431
152,1257955,Kenshi Yonezu - Peace Sign (TV edit.) (Finshie) [Hard].osu,2.8431793194217585,3.65887
153,186721,ONE OK ROCK - Answer is Near (Kuria) [Insane].osu,3.2347159990422374,4.50381
154,1645700,Vickeblanka - Black Rover (TV Size) (Sotarks) [Shunao's Hard].osu,3.354152955394694,3.84937
155,787430,ARCIEN - Future Son (Mishima Yurara) [N A S Y A'S OK DAD].osu,5.054426194224169,4.7069
156,969667,FLOW - GO!!! ~NARUTO OPENING MIX~ (Monstrata) [alacat's Normal].osu,2.490168631252535,2.22262
157,1093726,RADWIMPS - Zen Zen Zense (movie ver.) (Monstrata) [Battle's Easy].osu,1.5070490411141857,1.91281
158,774965,kradness&Reol - Remote Control (Taeyang) [Max Control!].osu,5.579851287906866,5.75198
159,829567,THE ORAL CIGARETTES - Kyouran Hey Kids!! (monstrata) [Veyron's Normal].osu,2.8283467230970407,2.42848
160,240011,Linked Horizon - Guren no Yumiya (TV Size) (Kuria) [DS's Hard].osu,3.5767591171493858,3.13475
